Last Callers
============
Name              Location              Node Time   Up KB  Dn KB  On Time   Baud
----------------- --------------------- ---- ------ ------ ------ --------- -----
MaRWic            [dECiSiON&ShELTER]       1   0:02   82mb      0  10:40:29 19200
Ransom1122        Aus                      1   0:07      0      0  06:57:26 19200
Ransom1122        Aus                      1   0:13      0   LOTS  06:33:30 19200
KayPirinha        Somewhere                1   0:07      0   LOTS  05:43:04 19200
spot              Up Rough                 1   0:06      0      0  23:06:49 19200
lordnikon         Dekadence                1   0:05     33      0  22:59:34 19200
sante             Vasto                    2   0:23      0      0  22:35:45 19200
spot              Up Rough                 1   0:04      0      0  22:31:36 19200
Mindb3nd3r        Kingsfield, Stockho      1   0:21      0      0  20:57:10 19200
kokkiklhs         Athens, GR               1   0:11      0      0  20:41:14 19200
R/\DIOSITY        HOODLUM                  1   0:00      0      0  20:09:00 19200
ramkiller         italy trieste            1   0:07      0      0  19:59:03 19200
RaGe              UK                       1   0:03   92mb      0  18:00:48 19200
lordnikon         Dekadence                1   0:03      0      0  11:39:21 19200
RaGe              UK                       1   0:01   53mb      0  10:27:21 19200
